"Story","Title","Result","Date","Stability","Duration (s)"
"Validation Country","Statistics Country","SUCCESS","2022-05-10T20:55:21.9184542-05:00[America/Bogota]","0.0","9.09"
"Validation Country","Statistics Failed","SUCCESS","2022-05-10T20:55:31.0167923-05:00[America/Bogota]","0.0","0.85"
